Date,y-o-y % OECD Consumption Change,WTI Real Price (GDP Deflated),World Consumption Change,World GDP Change,WTI Real Price (GDP Deflated),non-OECD Consumption Growth,non-OECD GDP growth
1Q 2001,1.36,34.89,-0.08,2.19,25.83,2.27,5.07
2Q 2001,0.09,33.65,0.68,2.71,31.23,4.5,4.04
3Q 2001,-0.72,32.08,1.49,3.26,33.5,0.88,3.45
4Q 2001,-0.95,24.5,2.52,3.33,33.27,2.85,3.38
1Q 2002,-1.1,25.83,2.41,3.67,39.87,1.63,3.77
2Q 2002,-0.12,31.23,1.22,3.5,33.85,1.95,4.21
3Q 2002,0.39,33.5,1.63,4.3,35.11,3.3,4.94
4Q 2002,2.07,33.27,1.79,5.35,36.02,3.26,5.01
1Q 2003,2.06,39.87,3.12,5.46,40.5,2.99,5.33
2Q 2003,1.3,33.85,4.85,6.81,43.57,1.1,5.21
3Q 2003,0.17,35.11,4.35,6.26,49.54,3.97,6.17
4Q 2003,0.36,36.02,3.88,5.64,53.98,4.11,7.47
1Q 2004,1.32,40.5,2.89,5.92,55.52,6.02,8.02
2Q 2004,1.81,43.57,1.91,4.95,58.68,9.57,9.33
3Q 2004,2.4,49.54,1.42,4.94,69.31,7.36,8.75
4Q 2004,2.04,53.98,-0.44,5.31,65.15,6.75,7.92
1Q 2005,1.43,55.52,0.81,5.95,68.28,5.15,7.9
2Q 2005,1.17,58.68,0.95,5.77,75.37,2.96,7.16
3Q 2005,0.47,69.31,1.62,5.58,74.91,2.81,6.88
4Q 2005,-0.56,65.15,2.33,5.74,63.4,-0.26,7.55
1Q 2006,-0.38,68.28,0.99,5.59,60.82,2.58,8.2
2Q 2006,-0.51,75.37,2.03,5.77,67.62,3.01,7.99
3Q 2006,-0.28,74.91,1.4,5.68,77.97,4.36,8.22
4Q 2006,-0.16,63.4,2.07,5.58,93.46,6.02,8.32
1Q 2007,-1.4,60.82,0.97,4.3,100.51,4.46,8.42
2Q 2007,0.31,67.62,1.05,4.61,126.64,4.4,8.79
3Q 2007,-0.07,77.97,-0.68,3.63,120.11,3.42,8.52
4Q 2007,0.24,93.46,-3.19,0.81,59.43,4.62,8.52
1Q 2008,-1.65,100.51,-3.62,-1.12,43.66,4.57,7.34
2Q 2008,-1.93,126.64,-2.55,-1.76,60.39,4.97,7.46
3Q 2008,-4.77,120.11,-0.43,-0.56,68.94,4.75,6.45
4Q 2008,-5.44,59.43,1.22,2.01,76.67,-0.17,3.54
1Q 2009,-4.68,43.66,2.58,5.16,79.32,-2.25,1.14
2Q 2009,-5.74,60.39,3.52,5.59,77.98,1.38,0.94
3Q 2009,-3.34,68.94,3.94,5.33,75.95,3.09,2.34
4Q 2009,-2.57,76.67,4.04,5.15,84.63,6.02,4.56
1Q 2010,-1.08,79.32,2.14,4.69,92.94,7.18,7.82
2Q 2010,1.79,77.98,0.14,4.02,100.08,5.5,7.76
3Q 2010,3.71,75.95,0.54,3.73,87.3,4.21,7.07
4Q 2010,1.88,84.63,0.12,3.45,91.64,6.56,7.13
1Q 2011,0.26,92.94,0.92,2.92,99.65,4.32,6.67
2Q 2011,-1.96,100.08,1.92,3.7,89.94,2.47,5.97
3Q 2011,-1.3,87.3,1.04,3.55,88.32,2.62,5.66
4Q 2011,-2.02,91.64,2.13,3.37,83.97,2.5,5.08
1Q 2012,-1.42,99.65,1.76,3.54,89.65,3.53,4.56
2Q 2012,0.43,89.94,2.03,2.83,89.11,3.49,5.21
3Q 2012,-1.96,88.32,1.87,3.06,99.73,4.29,5.28
4Q 2012,-0.64,83.97,0.89,3.18,91.37,5.09,5.41
1Q 2013,-0.98,89.65,1.35,3,92.11,4.67,5.11
2Q 2013,0.31,89.11,1.48,3.07,95.93,3.8,4.57
3Q 2013,0.88,99.73,1.51,3.03,90.43,2.88,4.43
4Q 2013,0.46,91.37,1.55,3,67.61,1.33,4.21
1Q 2014,0.18,92.11,1.98,3.12,44.77,2.52,3.98
2Q 2014,-1.56,95.93,2.5,2.96,53.12,4.49,3.86
3Q 2014,-0.8,90.43,3.07,2.8,42.61,3.82,3.69
4Q 2014,-0.24,67.61,1.89,2.59,38.39,3.34,3.6
1Q 2015,1.87,44.77,1.77,1.98,30.55,2.09,3.43
2Q 2015,1.93,53.12,1.38,2.95,41.37,3.04,3.16
3Q 2015,2.43,42.61,0.62,2.93,40.67,3.68,3.18
4Q 2015,0.42,38.39,1.3,3.23,44.36,3.3,3.08
1Q 2016,0.29,30.55,1.22,3.75,46.36,3.22,2.98
2Q 2016,0.92,41.37,2.54,2.89,43.09,1.82,3.91
3Q 2016,0.64,40.67,2.01,3.13,42.84,0.6,3.9
4Q 2016,1.82,44.36,2.32,3.07,48.86,0.82,4.02
1Q 2017,0.19,46.36,2.39,3.32,55.29,2.19,4.37
2Q 2017,2.12,43.09,0.9,3.23,59.36,2.93,3.54
3Q 2017,0.75,42.84,1.35,2.9,60.47,3.19,3.69
4Q 2017,1.36,48.86,0.76,2.6,51.5,3.24,3.57
1Q 2018,1.97,55.29,0.43,2.18,47.25,2.77,3.95
2Q 2018,-0.06,59.36,0.36,1.97,51.36,1.78,3.76
3Q 2018,0.76,60.47,0.87,1.85,48.02,1.88,3.43
4Q 2018,-0.99,51.5,1.34,1.92,46.26,2.39,3.28
1Q 2019,-1.17,47.25,1.34,1.46,44.46,1.9,2.49
2Q 2019,-0.94,51.36,1.47,2.55,43.08,1.52,2.24
3Q 2019,-0.4,48.02,1.23,2.71,46.09,2.03,2.08
4Q 2019,1.12,46.26,1.4,2.87,48.29,1.53,2.28